Name,authors,pattern_match,title,url,Code available,Git URL,Repository URL,Note,© issues,Languages,Dependency management scheme,Additional dependency features,Dependency versioning,Dependency note
paper1.pdf,"Taylor Arnold, Lauren Tilton",No,Explainable Search and Discovery of Visual Cultural Heritage Collections with Multimodal Large Language Models,https://ceur-ws.org/Vol-3834/paper1.pdf,No,,,,,,,,,
paper4.pdf,"Petra Heřmánková, Brian Ballsun-Stanton, Ray Laurence",No,FAIR Turn in Epigraphy: Low Barrier Pathways to Quantitative and Reproducible Research in Latin Epigraphy,https://ceur-ws.org/Vol-3834/paper4.pdf,Unfulfilled: No reference,,,"Can’t find via Google. “We publish all steps in the case study R script along with detailed comments and
provide interested scholars and students with a step-by-step script, guiding them through a
simple analysis of several hundred inscriptions”. Software is available.",,,,,,
paper5.pdf,"Mathieu Jacomy, Matilde Ficozzi, Anders K. Munk",No,Sub-optimal Recall in Visual Cluster Retrieval: When Clusters Look Like Bridges,https://ceur-ws.org/Vol-3834/paper5.pdf,Not applicable,,,,,,,,,
paper6.pdf,"Sungpil Wang, Juyong Park",No,Quantitative Framework for Word-Color Association and Application to 20th Century Anglo-American Poetry,https://ceur-ws.org/Vol-3834/paper6.pdf,No,,,,,,,,,
paper9.pdf,"Christof Schöch, Julia Dudar, Evgeniia Fileva, Artjoms Šeļa",Yes,Multilingual Stylometry: The influence of language on the performance of authorship attribution using corpora from the European Literary Text Collection (ELTeC),https://ceur-ws.org/Vol-3834/paper9.pdf,Yes,https://gitlab.clsinfra.io/cls-infra/d33,https://zenodo.org/records/11080205,,,"Python, R",None (import only),,Unversioned,
paper12.pdf,"Klara Venglarova, Raven Adam, Wiltrud Mölzer, Saranya Balasubramanian, Jörn Kleinert, Manfred Füllsack, Georg Vogeler",No,Who Advertises in Newspapers? Data Criticism in Mining Historical Job Ads,https://ceur-ws.org/Vol-3834/paper12.pdf,Data only,,,Data only,,,,,,
paper13.pdf,"Folgert Karsdorp, Mike Kestemont, Margo de Koster",Yes,Beyond the Register: Demographic Modeling of Arrest Patterns in 1879-1880 Brussels,https://ceur-ws.org/Vol-3834/paper13.pdf,Yes,https://github.com/fbkarsdorp/dark-numbers/tree/1.0,https://zenodo.org/records/13969373,,,Jupyter/Python,Requirements file,,Versioned,
paper15.pdf,"Caroline Vandyck, Mike Kestemont",No,Abbreviation Application: A Stylochronometric Study of Abbreviations in the Oeuvre of Herne’s Speculum Scribe,https://ceur-ws.org/Vol-3834/paper15.pdf,No,,,,,,,,,
paper17.pdf,"Jamie Mahowald, Benjamin Charles Germain Lee",Yes,Integrating Visual and Textual Inputs for Searching Large-Scale Map Collections with CLIP,https://ceur-ws.org/Vol-3834/paper17.pdf,Yes,https://github.com/j-mahowald/clip-loc-maps,https://zenodo.org/records/11538437,,,"Jupyter/Python, Python",None (import only),,Unversioned,"“Run the first two cells in search (ensure all imports are resolved),”"
paper18.pdf,Spencer Dean Stewart,Yes,"A Methodology for Studying Linguistic and Cultural Change in China, 1900-1950",https://ceur-ws.org/Vol-3834/paper18.pdf,No,,,,,,,,,
